matchid,team_home,team_home_id,score_home,team_away,team_away_id,score_away,mu_coach_player_all_t1,mu_coach_player_all_t2,mu_coach_player_suc_t1,mu_coach_player_suc_t2,mu_rel_all_t1,mu_rel_all_t2,mu_rel_suc_t1,mu_rel_suc_t2,seasonyear,mean_goals_t1_bin_5,mean_assists_t1_bin_5,mean_goals_t2_bin_5,mean_assists_t2_bin_5,mean_goals_t1_bin_3,mean_assists_t1_bin_3,mean_goals_t2_bin_3,mean_assists_t2_bin_3,mean_goals_t1_bin_1,mean_assists_t1_bin_1,mean_goals_t2_bin_1,mean_assists_t2_bin_1
2231430,1-fsv-mainz-05,39,1,fortuna-dusseldorf,38,0,37.888889,.27777779,14.166667,.055555556,16.424837,.22222222,5.980392,.052287582,2012,.89071393,.62214768,1.1518077,.54745966,.90047699,.77359432,1.2093637,.59161854,.73148149,.74074072,.67500001,.55092591
2231431,spvgg-greuther-furth,65,0,hamburger-sv,41,1,.83333331,12.555555,.5,3.0555556,.16993465,8.3660135,.05882353,1.862745,2012,1.3292124,.92604029,1.4410642,.67636764,1.3011671,1.0818278,1.2499086,.6690917,1.7454249,1.4313725,1.6305555,.72777778
2231432,fc-augsburg,167,3,sv-werder-bremen,86,1,0,39.277779,0,15.777778,3.2026143,7.6274509,.84967321,2.640523,2012,1.1937218,.57388145,1.0316324,.74705982,1.2199956,.54795372,1.0217237,.75370371,.75185186,.43055555,1.0050265,.76296294
2231433,borussia-monchengladbach,18,2,eintracht-frankfurt,24,0,21.444445,.33333334,10.388889,.16666667,16.51634,5.4640522,7.2875819,1.6013072,2012,1.4322778,.70305425,1.3898468,.83424884,1.3878313,.76332003,1.5634689,1.1070106,1.9814814,.96891534,2.3888888,1.75
2231434,sc-freiburg,60,3,1-fc-nurnberg,4,0,11.055555,33.888889,4.6666665,12.333333,12.816994,11.777778,4.3398695,4.2810459,2012,1.3994578,.77757967,1.1183254,.56022286,1.2368863,.8057099,1.1370771,.56801146,1.3203703,1.2314814,.98240739,.87037039
2231435,hannover-96,42,1,borussia-dortmund,16,1,46.166668,73.666664,20.277779,46.333332,27.20915,34.908497,11.104575,22.522877,2012,1.3129265,.96078283,1.395896,.99692279,1.3125226,1.0650463,1.2483201,1.1480532,1.0539021,.94444442,1.5240741,1.3148148
2231436,vfb-stuttgart,79,2,bayer-04-leverkusen,15,2,29.444445,3.0555556,13.444445,1.8888888,21.82353,24.196079,9.5294113,11.372549,2012,1.1623876,.95755732,1.170048,.88198322,1.2993169,.93267596,1.1250982,.9433642,1.3212963,.98518521,.84907407,.8425926
2231437,sc-freiburg,60,1,sv-werder-bremen,86,2,11.388889,42.055557,4.8333335,17,15.836601,10.143791,5.6601305,3.8496733,2012,1.2154974,.77545649,1.1209434,.87753123,1.087411,.80015433,1.0408443,.9253307,1.3481481,1.3018519,1.0328043,.94814813
2231438,fc-schalke-04,33,3,1-fsv-mainz-05,39,0,13.333333,39.555557,7.6111112,14.388889,14.091503,17.82353,7.1307192,6.0980392,2012,1.3640512,1.0528733,.90353441,.6372745,1.2472458,1.0199226,.93627948,.78748322,1.3328704,1.0678571,.97222221,.7962963
2231439,hamburger-sv,41,3,fc-schalke-04,33,1,14.611111,14.055555,3.5555556,7.9444447,14.03268,13,3.7908497,6.5294118,2012,1.2626885,.66110259,1.3715217,1.0733556,1.0759888,.63915342,1.2426603,.9722774,1.425926,.67500001,1.4069444,1.1373016
2231440,sc-freiburg,60,0,fc-bayern-munchen,27,2,11.611111,21.833334,4.7222223,14.388889,12.686275,18.411764,4.4575162,11.352942,2012,1.3354794,.70845711,1.7811549,1.3023019,1.2532688,.79596561,1.877872,1.5394841,1.4685185,1.2833333,2.6740742,2.0462964
2231441,1-fc-nurnberg,4,4,tsg-1899-hoffenheim,533,2,34.333332,5.2777777,12.611111,1.7777778,11.69281,6.0392156,4.3660131,2.1307189,2012,1.0556474,.43564376,1.6072313,1.2941993,1.1309043,.54023367,1.6314336,1.2214266,.92685187,.75925928,2.1730158,1.6574074
2231442,fc-schalke-04,33,1,borussia-monchengladbach,18,1,14.333333,22.833334,8.0555553,11.055555,13.928104,20.568628,6.7124181,9.1111107,2012,1.3096817,1.0272136,1.0468829,.68707609,1.1734732,.92509925,.8547883,.75838172,1.3263888,1.0456349,.96388888,1.0013227
2231443,bayer-04-leverkusen,15,1,1-fc-nurnberg,4,0,2.5,34.333332,1.6666666,12.611111,18.888889,11.69281,8.7777777,4.3660131,2012,1.1714509,.89896953,1.0556474,.43564376,1.2050645,.9800095,1.1309043,.54023367,1.1,.97222221,.92685187,.75925928
2231444,sv-werder-bremen,86,1,bayer-04-leverkusen,15,4,31.611111,2.5,13.055555,1.6666666,4.5947714,17.346405,1.6274509,8.0196075,2012,1.2791198,.87225562,1.3460541,.8582288,1.2530475,.9748016,1.3919332,.92939222,1.1716931,1.0962963,1.7388889,1.175926
2231445,eintracht-frankfurt,24,1,1-fsv-mainz-05,39,3,.33333334,31.388889,.16666667,11.666667,6.0915031,14.215686,1.7777778,5.2418299,2012,1.5250363,.84381676,.84544271,.56688452,1.7135541,1.155681,.81845838,.68679965,2.1944444,1.6111112,.75,.83333331
2231446,fc-bayern-munchen,27,1,borussia-dortmund,16,1,21.944445,70.333336,14.444445,44.333332,21.640522,30.751635,13.202615,20.006536,2012,1.8277318,1.4192001,1.4535114,.9416517,1.9462481,1.6202922,1.2850204,1.0850902,2.7203703,2.0879629,1.5546297,1.3453704
2231447,1-fsv-mainz-05,39,2,hannover-96,42,1,34.444443,48,12.944445,21.111111,13.588235,30.235294,5.019608,12.372549,2012,.96002603,.6092456,1.140276,.92408252,.93671238,.7431488,1.1254001,1.0055225,.8425926,.87037039,.82208997,.83333331
2231448,fc-schalke-04,33,2,sv-werder-bremen,86,1,13.444445,27.333334,7.5555553,10.222222,11.882353,6.2745099,5.9019608,1.9738562,2012,1.3456796,1.0420928,1.2313362,.82495415,1.2401911,.99340755,1.2081596,.87116402,1.3791667,1.1095238,1.0050265,.76296294
2231449,tsg-1899-hoffenheim,533,1,sv-werder-bremen,86,4,2.8333333,26.166666,.8888889,9.7222223,4.346405,4.5294118,1.5359477,1.503268,2012,1.6042851,1.3043003,1.2269078,.72503835,1.6648631,1.2723324,1.1273454,.83220899,2.2146826,1.6574074,1.1216931,.88518518
2231450,fc-augsburg,167,1,sc-freiburg,60,1,0,10.222222,0,4.1666665,5.7973857,10.555555,1.4248366,3.6928105,2012,1.3408036,.59356236,1.1474583,.72770518,1.3546337,.63287437,1.0970519,.80908287,1.0518519,.52777779,1.2314814,1.2
2231451,vfl-wolfsburg,82,1,hamburger-sv,41,1,2.3333333,14.666667,1.2222222,3.6111112,8.6013069,13.366014,3.1699347,3.503268,2012,1.3906525,.89952767,1.147419,.58770931,1.3728491,.91399711,1.0383906,.57588184,1.8556879,1.2314814,1.4212962,.67500001
2231452,vfl-wolfsburg,82,1,sv-werder-bremen,86,1,3.7777777,38.722221,2,15.111111,16.607843,8.3660135,6.5424838,2.8431373,2012,1.2662904,.79573977,1.2103524,.85273194,1.2513781,.79733044,1.1924468,.91560847,1.7519841,1.0648148,1.0050265,.8740741
2231453,fc-schalke-04,33,1,eintracht-frankfurt,24,1,14.333333,.33333334,8.0555553,.16666667,13.928104,5.9281044,6.7124181,1.7254902,2012,1.3096817,1.0272136,1.4006773,.83918715,1.1734732,.92509925,1.6007897,1.1626256,1.3263888,1.0456349,2.2777777,1.7222222
2231454,sc-freiburg,60,3,vfb-stuttgart,79,0,11.666667,32.777779,4.8888888,15.222222,14.130719,26.627451,5.1176472,11.79085,2012,1.2780924,.74807554,1.1186898,.89369565,1.1973826,.76818782,1.2632058,.89109349,1.4777777,1.3111111,1.3490741,.98518521
2231455,spvgg-greuther-furth,65,0,vfb-stuttgart,79,1,.83333331,30.277779,.5,14.055555,.03267974,23.542484,0,10.464052,2012,1.404387,1.2120155,1.1554583,.86448812,1.2699294,1.240862,1.2946873,.8579846,1.6410494,1.4814814,1.3953704,.98518521
2231456,fortuna-dusseldorf,38,4,eintracht-frankfurt,24,0,.27777779,.33333334,.055555556,.16666667,.20261438,4.9019608,.045751635,1.4379085,2012,1.5049199,1.1207978,1.4867895,.85633481,1.4940314,1.1044853,1.5295184,1.0687983,1.9851851,1.625,2.1111112,1.7222222
2231457,tsg-1899-hoffenheim,533,1,bayer-04-leverkusen,15,2,5.2777777,2.7222223,1.7777778,1.8333334,6.0392156,14.48366,2.1307189,6.6666665,2012,1.6072313,1.2941993,1.4207506,.81748807,1.6314336,1.2214266,1.4695346,.91087371,2.1730158,1.6574074,1.9055556,1.2314814
2231458,eintracht-frankfurt,24,4,fc-augsburg,167,2,.33333334,0,.16666667,0,5.2549019,5.5816994,1.5424837,1.3725491,2012,1.2398468,.83424884,1.1440443,.54726613,1.4206117,1.1070106,1.1324114,.5742324,2.3055556,1.75,.86296296,.43055555
2231459,fc-bayern-munchen,27,5,hannover-96,42,0,21.944445,47.111111,14.444445,20.555555,21.640522,30.379086,13.202615,12.366014,2012,1.8277318,1.4192001,1.3177282,.94332254,1.9462481,1.6202922,1.2303383,.98435849,2.7203703,2.0879629,.97764552,.83333331
2231460,hamburger-sv,41,1,1-fsv-mainz-05,39,0,14.944445,37.277779,3.5555556,13.944445,13.470589,16.437908,3.4379084,5.993464,2012,1.4028401,.67869866,.89070028,.62126261,1.190495,.64270282,.86978114,.77637208,1.5888889,.74444443,.7037037,.7962963
2231461,tsg-1899-hoffenheim,533,1,vfl-wolfsburg,82,3,4.5,3.7777777,1.5555556,2,3.3464053,15.79085,1.2091503,6.2156863,2012,1.5527055,1.2740805,1.3536431,.83894968,1.5733846,1.2249539,1.3309388,.84362674,2.0824075,1.574074,1.800926,1.1259259
2231462,borussia-monchengladbach,18,2,vfl-wolfsburg,82,0,22.833334,2.3333333,11.055555,1.2222222,20.568628,9.6993465,9.1111107,3.6732025,2012,1.495031,.6946519,1.3844559,.89784414,1.2992327,.76393729,1.3795831,.90844154,1.9453703,1.0383598,1.8279101,1.1203704
2231463,borussia-dortmund,16,1,fortuna-dusseldorf,38,1,64.111115,.27777779,40.388889,.055555556,26.09804,.045751635,16.869282,.013071896,2012,1.2964852,.87657905,1.5568378,1.03701,1.163519,1.0091643,1.617785,1.0825998,1.4638889,1.2314814,2.0129631,1.6296296
