matchid,team_home,team_home_id,score_home,team_away,team_away_id,score_away,mu_coach_player_all_t1,mu_coach_player_all_t2,mu_coach_player_suc_t1,mu_coach_player_suc_t2,mu_rel_all_t1,mu_rel_all_t2,mu_rel_suc_t1,mu_rel_suc_t2,seasonyear,mean_goals_t1_bin_5,mean_assists_t1_bin_5,mean_goals_t2_bin_5,mean_assists_t2_bin_5,mean_goals_t1_bin_3,mean_assists_t1_bin_3,mean_goals_t2_bin_3,mean_assists_t2_bin_3,mean_goals_t1_bin_1,mean_assists_t1_bin_1,mean_goals_t2_bin_1,mean_assists_t2_bin_1
2223914,es-troyes-ac,1095,1,hsc-montpellier,969,1,6.7777777,58.222221,1.6111112,29.833334,.16993465,28.222221,.026143791,14.993464,2012,.51854473,.35468787,.95428544,.51091832,.53921956,.42927688,.97783375,.58985692,.62777776,.46388888,1.3740741,.6712963
2223915,fc-girondins-bordeaux,40,1,fc-toulouse,415,0,38.555557,60.5,16.333334,23.388889,31.411764,28.169935,14.176471,11.039216,2012,.53046727,.60557169,.49492922,.46104831,.55214417,.68214583,.59553474,.53908527,.79166669,.74074072,.7962963,.7037037
2223916,fc-paris-saint-germain,583,1,as-saint-etienne,618,2,9.9444447,24.17647,5.7777777,8.8235292,12.686275,8.9044113,7.019608,3.3455882,2012,.9623214,.69167751,.69877756,.5030883,.85585201,.73063117,.719751,.5786128,.95185184,.83333331,.84215689,.69957983
2223917,ogc-nizza,417,2,as-nancy-lorraine,1159,1,3.2777777,21.722221,1.6111112,6.7222223,4.7777777,18.196079,1.3071896,6.0653596,2012,.57700211,.46579757,.7512067,.46025226,.56934488,.49640492,.74418789,.46763667,.5411765,.4627451,1.0046296,.5462963
2223918,fc-evian-thonon-gaillard,14171,0,osc-lille,1082,2,0,43.611111,0,23.666666,9.8235292,16.882353,3.2222223,9.2941179,2012,.64789224,.5273183,.70810902,.65252537,.72738093,.59198129,.74524409,.68434745,.74444443,.47222221,.65026456,.63796294
2223919,ac-ajaccio,1147,0,olympique-marseille,244,2,0,0,0,0,9.8496733,18.457516,2.5555556,7.4052286,2012,.62371039,.38760975,.59257352,.40521422,.63713324,.4107143,.6915344,.47836268,.69607842,.38235295,.69550264,.50277776
2223920,fc-toulouse,415,3,stade-brest-29,3911,1,59.166668,0,22.833334,0,26.679739,8.5098038,10.568627,2.1764705,2012,.38381809,.38327053,.69882238,.40568191,.4358125,.42797419,.71360862,.42280143,.51851851,.64814812,.50185186,.28796297
2223921,sc-bastia,595,3,fc-girondins-bordeaux,40,1,.27777779,38.555557,.055555556,16.444445,.39215687,36.705883,.11764706,17.816994,2012,.67089522,.4502801,.55815959,.60124266,.64996183,.44733894,.54288489,.66497415,1.0539216,.72549021,.75462961,.7037037
2223922,stade-reims,1421,1,es-troyes-ac,1095,1,0,4.2777777,0,1.0555556,.3137255,.0065359478,.11111111,.0065359478,2012,.70537442,.29803699,.86591959,.52598417,.79875541,.31199294,.86097884,.60388005,1.7083334,.62962961,.89166665,.55648148
2223923,olympique-marseille,244,1,olympique-lyon,1041,4,0,16.666666,0,8.2222223,15.869281,12.836601,6.5947714,6.2810459,2012,.64400834,.44302094,.59737027,.39225799,.73510951,.4851113,.57411921,.32714751,.78347337,.51274508,.64291441,.42156863
